Timestamp;Date;Value;Properties
1773070632395;2026-03-09 16:37:12.395;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1284, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.34};
1773070633309;2026-03-09 16:37:13.309;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1285, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.32};
1773070634153;2026-03-09 16:37:14.153;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1286, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.32};
1773070635174;2026-03-09 16:37:15.174;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1287, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.32};
1773070636188;2026-03-09 16:37:16.188;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1288, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.33};
1773070637213;2026-03-09 16:37:17.213;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1289, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.33};
1773070638227;2026-03-09 16:37:18.227;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1290, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.33};
1773070639248;2026-03-09 16:37:19.248;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1291, "iaq_index": 83, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.94, "air_pressure": 941.33};
1773070640267;2026-03-09 16:37:20.267;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1292, "iaq_index": 83, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.94, "air_pressure": 941.33};
1773070641286;2026-03-09 16:37:21.286;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1293, "iaq_index": 83, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.94, "air_pressure": 941.33};
1773070642304;2026-03-09 16:37:22.304;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1294, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.33};
1773070643301;2026-03-09 16:37:23.301;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1295, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.33};
1773070644013;2026-03-09 16:37:24.013;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1296, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.33};
1773070645160;2026-03-09 16:37:25.160;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1297, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.33};
1773070646420;2026-03-09 16:37:26.420;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1298, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.33};
1773070647126;2026-03-09 16:37:27.126;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1299, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.33};
1773070647973;2026-03-09 16:37:27.973;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1300, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.32};
1773070649184;2026-03-09 16:37:29.184;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1301, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.32};
1773070650236;2026-03-09 16:37:30.236;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1302, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.32};
1773070651372;2026-03-09 16:37:31.372;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1303, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.32};
1773070652048;2026-03-09 16:37:32.048;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1304, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.32};
1773070652829;2026-03-09 16:37:32.829;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1305, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.32};
1773070653820;2026-03-09 16:37:33.820;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1306, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.32};
1773070654809;2026-03-09 16:37:34.809;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1307, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.32};
1773070656247;2026-03-09 16:37:36.247;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1308, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.32};
1773070657262;2026-03-09 16:37:37.262;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1309, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.31, "humidity": 31.93, "air_pressure": 941.34};
1773070657777;2026-03-09 16:37:37.777;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1310, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.31, "humidity": 31.93, "air_pressure": 941.34};
1773070658793;2026-03-09 16:37:38.793;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1311, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.31, "humidity": 31.93, "air_pressure": 941.34};
1773070659817;2026-03-09 16:37:39.817;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1312, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.33};
1773070660833;2026-03-09 16:37:40.833;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1313, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.33};
1773070661856;2026-03-09 16:37:41.856;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1314, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.93, "air_pressure": 941.33};
1773070662874;2026-03-09 16:37:42.874;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1315, "iaq_index": 83, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.31, "humidity": 31.92, "air_pressure": 941.32};
1773070663718;2026-03-09 16:37:43.718;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1316, "iaq_index": 83, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.31, "humidity": 31.92, "air_pressure": 941.32};
1773070664770;2026-03-09 16:37:44.770;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1317, "iaq_index": 83, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.31, "humidity": 31.92, "air_pressure": 941.32};
1773070665699;2026-03-09 16:37:45.699;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1318, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.31, "humidity": 31.92, "air_pressure": 941.32};
1773070666744;2026-03-09 16:37:46.744;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1319, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.31, "humidity": 31.92, "air_pressure": 941.32};
1773070667677;2026-03-09 16:37:47.677;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1320, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.31, "humidity": 31.92, "air_pressure": 941.32};
1773070668725;2026-03-09 16:37:48.725;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1321, "iaq_index": 80, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.91, "air_pressure": 941.31};
1773070669659;2026-03-09 16:37:49.659;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1322, "iaq_index": 80, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.91, "air_pressure": 941.31};
1773070670712;2026-03-09 16:37:50.712;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1323, "iaq_index": 80, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.91, "air_pressure": 941.31};
1773070671638;2026-03-09 16:37:51.638;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1324, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.31};
1773070672685;2026-03-09 16:37:52.685;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1325, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.31};
1773070673622;2026-03-09 16:37:53.622;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1326, "iaq_index": 82, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.92, "air_pressure": 941.31};
1773070674740;2026-03-09 16:37:54.740;{"type": "air_quality", "UID": "2eah", "location": "Factory", "messageID": 1327, "iaq_index": 81, "iaq_index_accuracy_unreliable": 0, "iaq_index_accuracy_low": 1, "iaq_index_accuracy_medium": 0, "iaq_index_accuracy_high": 0, "iaq_index_accuracy": "Low", "temperature": 24.3, "humidity": 31.89, "air_pressure": 941.32};
