Timestamp;Date;Value;Properties
1773070631466;2026-03-09 16:37:11.466;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1275, "distance": 54.0};
1773070632464;2026-03-09 16:37:12.464;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1276, "distance": 54.1};
1773070633461;2026-03-09 16:37:13.461;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1277, "distance": 53.8};
1773070634662;2026-03-09 16:37:14.662;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1278, "distance": 54.4};
1773070635680;2026-03-09 16:37:15.680;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1279, "distance": 53.6};
1773070636704;2026-03-09 16:37:16.704;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1280, "distance": 54.2};
1773070637718;2026-03-09 16:37:17.718;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1281, "distance": 54.0};
1773070638737;2026-03-09 16:37:18.737;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1282, "distance": 54.1};
1773070639757;2026-03-09 16:37:19.757;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1283, "distance": 54.6};
1773070640778;2026-03-09 16:37:20.778;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1284, "distance": 53.8};
1773070641798;2026-03-09 16:37:21.798;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1285, "distance": 53.7};
1773070643267;2026-03-09 16:37:23.267;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1286, "distance": 53.6};
1773070643530;2026-03-09 16:37:23.530;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1287, "distance": 54.1};
1773070644568;2026-03-09 16:37:24.568;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1288, "distance": 54.4};
1773070645648;2026-03-09 16:37:25.648;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1289, "distance": 53.9};
1773070646885;2026-03-09 16:37:26.885;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1290, "distance": 54.3};
1773070647424;2026-03-09 16:37:27.424;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1291, "distance": 54.5};
1773070648444;2026-03-09 16:37:28.444;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1292, "distance": 54.8};
1773070649451;2026-03-09 16:37:29.451;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1293, "distance": 54.2};
1773070650609;2026-03-09 16:37:30.609;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1294, "distance": 54.1};
1773070651739;2026-03-09 16:37:31.739;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1295, "distance": 53.8};
1773070652750;2026-03-09 16:37:32.750;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1296, "distance": 54.4};
1773070653756;2026-03-09 16:37:33.756;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1297, "distance": 54.9};
1773070654491;2026-03-09 16:37:34.491;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1298, "distance": 53.8};
1773070656244;2026-03-09 16:37:36.244;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1299, "distance": 54.8};
1773070656754;2026-03-09 16:37:36.754;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1300, "distance": 54.4};
1773070657772;2026-03-09 16:37:37.772;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1301, "distance": 54.3};
1773070658792;2026-03-09 16:37:38.792;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1302, "distance": 54.3};
1773070659392;2026-03-09 16:37:39.392;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1303, "distance": 54.6};
1773070660388;2026-03-09 16:37:40.388;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1304, "distance": 53.8};
1773070661390;2026-03-09 16:37:41.390;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1305, "distance": 54.4};
1773070662384;2026-03-09 16:37:42.384;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1306, "distance": 54.7};
1773070663409;2026-03-09 16:37:43.409;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1307, "distance": 53.8};
1773070664381;2026-03-09 16:37:44.381;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1308, "distance": 54.8};
1773070665403;2026-03-09 16:37:45.403;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1309, "distance": 54.3};
1773070666374;2026-03-09 16:37:46.374;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1310, "distance": 55.0};
1773070667445;2026-03-09 16:37:47.445;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1311, "distance": 54.1};
1773070668367;2026-03-09 16:37:48.367;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1312, "distance": 54.0};
1773070669363;2026-03-09 16:37:49.363;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1313, "distance": 53.9};
1773070670373;2026-03-09 16:37:50.373;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1314, "distance": 54.4};
1773070671369;2026-03-09 16:37:51.369;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1315, "distance": 54.0};
1773070672464;2026-03-09 16:37:52.464;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1316, "distance": 53.8};
1773070673353;2026-03-09 16:37:53.353;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1317, "distance": 54.7};
1773070674447;2026-03-09 16:37:54.447;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1318, "distance": 54.0};
1773070675359;2026-03-09 16:37:55.359;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1319, "distance": 54.6};
1773070676386;2026-03-09 16:37:56.386;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1320, "distance": 53.8};
1773070677342;2026-03-09 16:37:57.342;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1321, "distance": 54.3};
1773070678411;2026-03-09 16:37:58.411;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1322, "distance": 54.0};
1773070679338;2026-03-09 16:37:59.338;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1323, "distance": 54.2};
1773070680389;2026-03-09 16:38:00.389;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1324, "distance": 54.2};
1773070681334;2026-03-09 16:38:01.334;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1325, "distance": 53.8};
1773070682375;2026-03-09 16:38:02.375;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1326, "distance": 54.4};
1773070683539;2026-03-09 16:38:03.539;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1327, "distance": 54.1};
1773070684559;2026-03-09 16:38:04.559;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1328, "distance": 54.6};
1773070685579;2026-03-09 16:38:05.579;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1329, "distance": 54.0};
1773070686597;2026-03-09 16:38:06.597;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1330, "distance": 53.9};
1773070687619;2026-03-09 16:38:07.619;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1331, "distance": 54.2};
1773070688639;2026-03-09 16:38:08.639;{"type": "distance_IR_long", "UID": "YZN", "location": "Factory", "messageID": 1332, "distance": 54.0};
