Timestamp;Date;Value;Properties
1773070631888;2026-03-09 16:37:11.888;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1273, "distance": 30.0};
1773070632907;2026-03-09 16:37:12.907;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1274, "distance": 30.0};
1773070633645;2026-03-09 16:37:13.645;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1275, "distance": 30.0};
1773070634662;2026-03-09 16:37:14.662;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1276, "distance": 30.0};
1773070635681;2026-03-09 16:37:15.681;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1277, "distance": 30.0};
1773070636705;2026-03-09 16:37:16.705;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1278, "distance": 30.0};
1773070637719;2026-03-09 16:37:17.719;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1279, "distance": 30.0};
1773070638740;2026-03-09 16:37:18.740;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1280, "distance": 30.0};
1773070639758;2026-03-09 16:37:19.758;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1281, "distance": 30.0};
1773070640779;2026-03-09 16:37:20.779;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1282, "distance": 30.0};
1773070641801;2026-03-09 16:37:21.801;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1283, "distance": 30.0};
1773070643267;2026-03-09 16:37:23.267;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1284, "distance": 30.0};
1773070643828;2026-03-09 16:37:23.828;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1285, "distance": 30.0};
1773070644581;2026-03-09 16:37:24.581;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1286, "distance": 30.0};
1773070645937;2026-03-09 16:37:25.937;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1287, "distance": 30.0};
1773070646886;2026-03-09 16:37:26.886;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1288, "distance": 30.0};
1773070647627;2026-03-09 16:37:27.627;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1289, "distance": 30.0};
1773070649182;2026-03-09 16:37:29.182;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1290, "distance": 30.0};
1773070650229;2026-03-09 16:37:30.229;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1291, "distance": 30.0};
1773070650613;2026-03-09 16:37:30.613;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1292, "distance": 30.0};
1773070651747;2026-03-09 16:37:31.747;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1293, "distance": 30.0};
1773070652750;2026-03-09 16:37:32.750;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1294, "distance": 30.0};
1773070653756;2026-03-09 16:37:33.756;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1295, "distance": 30.0};
1773070654559;2026-03-09 16:37:34.559;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1296, "distance": 30.0};
1773070656244;2026-03-09 16:37:36.244;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1297, "distance": 30.0};
1773070656754;2026-03-09 16:37:36.754;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1298, "distance": 30.0};
1773070657775;2026-03-09 16:37:37.775;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1299, "distance": 30.0};
1773070658793;2026-03-09 16:37:38.793;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1300, "distance": 30.0};
1773070659816;2026-03-09 16:37:39.816;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1301, "distance": 30.0};
1773070660833;2026-03-09 16:37:40.833;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1302, "distance": 30.0};
1773070661855;2026-03-09 16:37:41.855;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1303, "distance": 30.0};
1773070662874;2026-03-09 16:37:42.874;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1304, "distance": 30.0};
1773070663664;2026-03-09 16:37:43.664;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1305, "distance": 30.0};
1773070664547;2026-03-09 16:37:44.547;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1306, "distance": 30.0};
1773070665644;2026-03-09 16:37:45.644;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1307, "distance": 30.0};
1773070666541;2026-03-09 16:37:46.541;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1308, "distance": 30.0};
1773070667627;2026-03-09 16:37:47.627;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1309, "distance": 30.0};
1773070668528;2026-03-09 16:37:48.528;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1310, "distance": 30.0};
1773070669606;2026-03-09 16:37:49.606;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1311, "distance": 30.0};
1773070670523;2026-03-09 16:37:50.523;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1312, "distance": 30.0};
1773070671589;2026-03-09 16:37:51.589;{"type": "distance_IR_short", "UID": "2a7C", "location": "Conveyor", "messageID": 1313, "distance": 30.0};
