Timestamp;Date;Value;Properties
1773070631887;2026-03-09 16:37:11.887;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1279, "distance": 30.0};
1773070632907;2026-03-09 16:37:12.907;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1280, "distance": 30.0};
1773070633645;2026-03-09 16:37:13.645;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1281, "distance": 30.0};
1773070634662;2026-03-09 16:37:14.662;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1282, "distance": 30.0};
1773070635681;2026-03-09 16:37:15.681;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1283, "distance": 30.0};
1773070636705;2026-03-09 16:37:16.705;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1284, "distance": 30.0};
1773070637718;2026-03-09 16:37:17.718;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1285, "distance": 30.0};
1773070638740;2026-03-09 16:37:18.740;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1286, "distance": 30.0};
1773070639758;2026-03-09 16:37:19.758;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1287, "distance": 30.0};
1773070640778;2026-03-09 16:37:20.778;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1288, "distance": 30.0};
1773070641801;2026-03-09 16:37:21.801;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1289, "distance": 30.0};
1773070643267;2026-03-09 16:37:23.267;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1290, "distance": 30.0};
1773070643542;2026-03-09 16:37:23.542;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1291, "distance": 30.0};
1773070644568;2026-03-09 16:37:24.568;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1292, "distance": 30.0};
1773070645937;2026-03-09 16:37:25.937;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1293, "distance": 30.0};
1773070646886;2026-03-09 16:37:26.886;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1294, "distance": 30.0};
1773070647559;2026-03-09 16:37:27.559;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1295, "distance": 30.0};
1773070648492;2026-03-09 16:37:28.492;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1296, "distance": 30.0};
1773070650229;2026-03-09 16:37:30.229;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1297, "distance": 30.0};
1773070650609;2026-03-09 16:37:30.609;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1298, "distance": 30.0};
1773070651739;2026-03-09 16:37:31.739;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1299, "distance": 30.0};
1773070652750;2026-03-09 16:37:32.750;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1300, "distance": 30.0};
1773070653756;2026-03-09 16:37:33.756;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1301, "distance": 30.0};
1773070654491;2026-03-09 16:37:34.491;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1302, "distance": 30.0};
1773070656244;2026-03-09 16:37:36.244;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1303, "distance": 30.0};
1773070656754;2026-03-09 16:37:36.754;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1304, "distance": 30.0};
1773070657775;2026-03-09 16:37:37.775;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1305, "distance": 30.0};
1773070658792;2026-03-09 16:37:38.792;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1306, "distance": 30.0};
1773070659813;2026-03-09 16:37:39.813;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1307, "distance": 30.0};
1773070660408;2026-03-09 16:37:40.408;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1308, "distance": 30.0};
1773070661401;2026-03-09 16:37:41.401;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1309, "distance": 30.0};
1773070662395;2026-03-09 16:37:42.395;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1310, "distance": 30.0};
1773070663448;2026-03-09 16:37:43.448;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1311, "distance": 30.0};
1773070664385;2026-03-09 16:37:44.385;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1312, "distance": 30.0};
1773070665403;2026-03-09 16:37:45.403;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1313, "distance": 30.0};
1773070666370;2026-03-09 16:37:46.370;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1314, "distance": 30.0};
1773070667444;2026-03-09 16:37:47.444;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1315, "distance": 30.0};
1773070668359;2026-03-09 16:37:48.359;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1316, "distance": 30.0};
1773070669350;2026-03-09 16:37:49.350;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1317, "distance": 30.0};
1773070670361;2026-03-09 16:37:50.361;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1318, "distance": 30.0};
1773070671367;2026-03-09 16:37:51.367;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1319, "distance": 30.0};
1773070672332;2026-03-09 16:37:52.332;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1320, "distance": 30.0};
1773070673349;2026-03-09 16:37:53.349;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1321, "distance": 30.0};
1773070674317;2026-03-09 16:37:54.317;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1322, "distance": 30.0};
1773070675359;2026-03-09 16:37:55.359;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1323, "distance": 30.0};
1773070676384;2026-03-09 16:37:56.384;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1324, "distance": 30.0};
1773070677308;2026-03-09 16:37:57.308;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1325, "distance": 30.0};
1773070678406;2026-03-09 16:37:58.406;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1326, "distance": 30.0};
1773070679288;2026-03-09 16:37:59.288;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1327, "distance": 30.0};
1773070680385;2026-03-09 16:38:00.385;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1328, "distance": 30.0};
1773070681272;2026-03-09 16:38:01.272;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1329, "distance": 30.0};
1773070682370;2026-03-09 16:38:02.370;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1330, "distance": 30.0};
1773070683539;2026-03-09 16:38:03.539;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1331, "distance": 30.0};
1773070684559;2026-03-09 16:38:04.559;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1332, "distance": 30.0};
1773070685579;2026-03-09 16:38:05.579;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1333, "distance": 30.0};
1773070686597;2026-03-09 16:38:06.597;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1334, "distance": 30.0};
1773070687618;2026-03-09 16:38:07.618;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1335, "distance": 30.0};
1773070688224;2026-03-09 16:38:08.224;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1336, "distance": 30.0};
1773070689218;2026-03-09 16:38:09.218;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1337, "distance": 30.0};
1773070692210;2026-03-09 16:38:12.210;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1338, "distance": 30.0};
1773070693230;2026-03-09 16:38:13.230;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1339, "distance": 30.0};
1773070694199;2026-03-09 16:38:14.199;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1340, "distance": 30.0};
1773070695220;2026-03-09 16:38:15.220;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1341, "distance": 30.0};
1773070696239;2026-03-09 16:38:16.239;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1342, "distance": 30.0};
1773070697261;2026-03-09 16:38:17.261;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1343, "distance": 30.0};
1773070698277;2026-03-09 16:38:18.277;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1344, "distance": 30.0};
1773070699297;2026-03-09 16:38:19.297;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1345, "distance": 30.0};
1773070700316;2026-03-09 16:38:20.316;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1346, "distance": 30.0};
1773070701337;2026-03-09 16:38:21.337;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1347, "distance": 30.0};
1773070701337;2026-03-09 16:38:21.337;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1348, "distance": 30.0};
1773070702363;2026-03-09 16:38:22.363;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1349, "distance": 30.0};
1773070703378;2026-03-09 16:38:23.378;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1350, "distance": 30.0};
1773070704619;2026-03-09 16:38:24.619;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1351, "distance": 30.0};
1773070705637;2026-03-09 16:38:25.637;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1352, "distance": 30.0};
1773070705638;2026-03-09 16:38:25.638;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1353, "distance": 30.0};
1773070706154;2026-03-09 16:38:26.154;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1354, "distance": 30.0};
1773070707171;2026-03-09 16:38:27.171;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1355, "distance": 30.0};
1773070708194;2026-03-09 16:38:28.194;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1356, "distance": 30.0};
1773070709227;2026-03-09 16:38:29.227;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1357, "distance": 30.0};
1773070710226;2026-03-09 16:38:30.226;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1358, "distance": 30.0};
1773070711249;2026-03-09 16:38:31.249;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1359, "distance": 30.0};
1773070712268;2026-03-09 16:38:32.268;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1360, "distance": 30.0};
1773070713287;2026-03-09 16:38:33.287;{"type": "distance_IR_short_left", "UID": "TFu", "location": "Conveyor", "messageID": 1361, "distance": 30.0};
