Timestamp;Date;Value;Properties
1773070631438;2026-03-09 16:37:11.438;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 417, "readingID": 0};
1773070634661;2026-03-09 16:37:14.661;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 418, "readingID": 0};
1773070637715;2026-03-09 16:37:17.715;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 419, "readingID": 0};
1773070640778;2026-03-09 16:37:20.778;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 420, "readingID": 0};
1773070643352;2026-03-09 16:37:23.352;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 421, "readingID": 0};
1773070646724;2026-03-09 16:37:26.724;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 422, "readingID": 0};
1773070649451;2026-03-09 16:37:29.451;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 423, "readingID": 0};
1773070652727;2026-03-09 16:37:32.727;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 424, "readingID": 0};
1773070655323;2026-03-09 16:37:35.323;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 425, "readingID": 0};
1773070658302;2026-03-09 16:37:38.302;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 426, "readingID": 0};
1773070661345;2026-03-09 16:37:41.345;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 427, "readingID": 0};
1773070664277;2026-03-09 16:37:44.277;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 428, "readingID": 0};
1773070667444;2026-03-09 16:37:47.444;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 429, "readingID": 0};
1773070670358;2026-03-09 16:37:50.358;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 430, "readingID": 0};
1773070673201;2026-03-09 16:37:53.201;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 431, "readingID": 0};
1773070676384;2026-03-09 16:37:56.384;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 432, "readingID": 0};
1773070679159;2026-03-09 16:37:59.159;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 433, "readingID": 0};
1773070682142;2026-03-09 16:38:02.142;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 434, "readingID": 0};
1773070685113;2026-03-09 16:38:05.113;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 435, "readingID": 0};
1773070688132;2026-03-09 16:38:08.132;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 436, "readingID": 0};
1773070690171;2026-03-09 16:38:10.171;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 437, "ID": "ID 0x04 0xB5 0x9E 0xB2 0xB2 0x6C 0x80", "readingID": 1};
1773070691192;2026-03-09 16:38:11.192;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 438, "readingID": 0};
1773070691192;2026-03-09 16:38:11.192;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 439, "ID": "ID 0x04 0xB5 0x9E 0xB2 0xB2 0x6C 0x80", "readingID": 1};
1773070692210;2026-03-09 16:38:12.210;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 440, "readingID": 0};
1773070692211;2026-03-09 16:38:12.211;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 441, "ID": "ID 0x04 0xB5 0x9E 0xB2 0xB2 0x6C 0x80", "readingID": 1};
1773070693230;2026-03-09 16:38:13.230;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 442, "readingID": 0};
1773070693230;2026-03-09 16:38:13.230;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 443, "ID": "ID 0x04 0xB5 0x9E 0xB2 0xB2 0x6C 0x80", "readingID": 1};
1773070694199;2026-03-09 16:38:14.199;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 444, "readingID": 0};
1773070694199;2026-03-09 16:38:14.199;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 445, "ID": "ID 0x04 0xB5 0x9E 0xB2 0xB2 0x6C 0x80", "readingID": 1};
1773070695220;2026-03-09 16:38:15.220;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 446, "readingID": 0};
1773070695221;2026-03-09 16:38:15.221;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 447, "ID": "ID 0x04 0xB5 0x9E 0xB2 0xB2 0x6C 0x80", "readingID": 1};
1773070696239;2026-03-09 16:38:16.239;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 448, "readingID": 0};
1773070696240;2026-03-09 16:38:16.240;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 449, "ID": "ID 0x04 0xB5 0x9E 0xB2 0xB2 0x6C 0x80", "readingID": 1};
1773070697261;2026-03-09 16:38:17.261;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 450, "readingID": 0};
1773070697261;2026-03-09 16:38:17.261;{"type": "nfc", "UID": "22Mp", "location": "Conveyor", "messageID": 451, "ID": "ID 0x04 0xB5 0x9E 0xB2 0xB2 0x6C 0x80", "readingID": 1};
