Timestamp;Date;Value;Properties
1773070631409;2026-03-09 16:37:11.409;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1294, "illuminance": 1011.05};
1773070632400;2026-03-09 16:37:12.400;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1295, "illuminance": 1010.7};
1773070633438;2026-03-09 16:37:13.438;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1296, "illuminance": 1013.16};
1773070634661;2026-03-09 16:37:14.661;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1297, "illuminance": 1010.96};
1773070635680;2026-03-09 16:37:15.680;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1298, "illuminance": 1009.57};
1773070636704;2026-03-09 16:37:16.704;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1299, "illuminance": 1009.89};
1773070637292;2026-03-09 16:37:17.292;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1300, "illuminance": 1009.67};
1773070638284;2026-03-09 16:37:18.284;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1301, "illuminance": 1009.7};
1773070639265;2026-03-09 16:37:19.265;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1302, "illuminance": 1008.98};
1773070640268;2026-03-09 16:37:20.268;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1303, "illuminance": 1008.6};
1773070641287;2026-03-09 16:37:21.287;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1304, "illuminance": 1009.77};
1773070642309;2026-03-09 16:37:22.309;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1305, "illuminance": 1008.37};
1773070643301;2026-03-09 16:37:23.301;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1306, "illuminance": 1008.31};
1773070644565;2026-03-09 16:37:24.565;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1307, "illuminance": 1008.64};
1773070645160;2026-03-09 16:37:25.160;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1308, "illuminance": 1007.44};
1773070646724;2026-03-09 16:37:26.724;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1309, "illuminance": 1007.63};
1773070647127;2026-03-09 16:37:27.127;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1310, "illuminance": 1007.6};
1773070648170;2026-03-09 16:37:28.170;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1311, "illuminance": 1007.6};
1773070649184;2026-03-09 16:37:29.184;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1312, "illuminance": 1006.37};
1773070650236;2026-03-09 16:37:30.236;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1313, "illuminance": 1007.02};
1773070651538;2026-03-09 16:37:31.538;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1314, "illuminance": 1007.54};
1773070652222;2026-03-09 16:37:32.222;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1315, "illuminance": 1007.67};
1773070653241;2026-03-09 16:37:33.241;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1316, "illuminance": 1005.4};
1773070654262;2026-03-09 16:37:34.262;{"type": "ambient_light", "UID": "25YL", "location": "Factory", "messageID": 1317, "illuminance": 1005.4};
