Timestamp;Date;Value;Properties
1773070631899;2026-03-09 16:37:11.899;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1285, "x": 0.0275, "y": -0.3975, "z": 0.9541, "pitch": 2.0, "roll": -23.0};
1773070632907;2026-03-09 16:37:12.907;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1286, "x": 0.0333, "y": -0.3969, "z": 0.9515, "pitch": 2.0, "roll": -23.0};
1773070634152;2026-03-09 16:37:14.152;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1287, "x": 0.031, "y": -0.3916, "z": 0.9542, "pitch": 2.0, "roll": -22.0};
1773070635173;2026-03-09 16:37:15.173;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1288, "x": 0.0311, "y": -0.3913, "z": 0.9511, "pitch": 2.0, "roll": -22.0};
1773070636188;2026-03-09 16:37:16.188;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1289, "x": 0.0288, "y": -0.3928, "z": 0.9516, "pitch": 2.0, "roll": -22.0};
1773070637213;2026-03-09 16:37:17.213;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1290, "x": 0.0328, "y": -0.3941, "z": 0.9519, "pitch": 2.0, "roll": -22.0};
1773070637828;2026-03-09 16:37:17.828;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1291, "x": 0.0303, "y": -0.3947, "z": 0.9525, "pitch": 2.0, "roll": -22.0};
1773070638814;2026-03-09 16:37:18.814;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1292, "x": 0.0304, "y": -0.3929, "z": 0.9541, "pitch": 2.0, "roll": -22.0};
1773070639801;2026-03-09 16:37:19.801;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1293, "x": 0.0325, "y": -0.3932, "z": 0.9553, "pitch": 2.0, "roll": -22.0};
1773070640796;2026-03-09 16:37:20.796;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1294, "x": 0.0321, "y": -0.3948, "z": 0.9547, "pitch": 2.0, "roll": -22.0};
1773070641802;2026-03-09 16:37:21.802;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1295, "x": 0.0288, "y": -0.3978, "z": 0.9545, "pitch": 2.0, "roll": -23.0};
1773070643268;2026-03-09 16:37:23.268;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1296, "x": 0.0272, "y": -0.3967, "z": 0.9588, "pitch": 2.0, "roll": -22.0};
1773070643830;2026-03-09 16:37:23.830;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1297, "x": 0.0304, "y": -0.3931, "z": 0.9522, "pitch": 2.0, "roll": -22.0};
1773070645160;2026-03-09 16:37:25.160;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1298, "x": 0.0285, "y": -0.3934, "z": 0.9533, "pitch": 2.0, "roll": -22.0};
1773070646419;2026-03-09 16:37:26.419;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1299, "x": 0.0301, "y": -0.3945, "z": 0.9522, "pitch": 2.0, "roll": -22.0};
1773070646886;2026-03-09 16:37:26.886;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1300, "x": 0.033, "y": -0.3948, "z": 0.9552, "pitch": 2.0, "roll": -22.0};
1773070647764;2026-03-09 16:37:27.764;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1301, "x": 0.0317, "y": -0.395, "z": 0.9497, "pitch": 2.0, "roll": -23.0};
1773070649182;2026-03-09 16:37:29.182;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1302, "x": 0.0281, "y": -0.3969, "z": 0.9554, "pitch": 2.0, "roll": -23.0};
1773070650229;2026-03-09 16:37:30.229;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1303, "x": 0.0318, "y": -0.3971, "z": 0.9565, "pitch": 2.0, "roll": -23.0};
1773070651371;2026-03-09 16:37:31.371;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1304, "x": 0.0262, "y": -0.393, "z": 0.9518, "pitch": 1.0, "roll": -22.0};
1773070651747;2026-03-09 16:37:31.747;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1305, "x": 0.0318, "y": -0.3966, "z": 0.9519, "pitch": 2.0, "roll": -23.0};
1773070652750;2026-03-09 16:37:32.750;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1306, "x": 0.0278, "y": -0.3931, "z": 0.9522, "pitch": 2.0, "roll": -22.0};
1773070653756;2026-03-09 16:37:33.756;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1307, "x": 0.0263, "y": -0.392, "z": 0.9548, "pitch": 1.0, "roll": -22.0};
1773070654713;2026-03-09 16:37:34.713;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1308, "x": 0.0267, "y": -0.392, "z": 0.9538, "pitch": 1.0, "roll": -22.0};
1773070656244;2026-03-09 16:37:36.244;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1309, "x": 0.0242, "y": -0.3963, "z": 0.9548, "pitch": 1.0, "roll": -23.0};
1773070656754;2026-03-09 16:37:36.754;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1310, "x": 0.027, "y": -0.3952, "z": 0.9525, "pitch": 1.0, "roll": -23.0};
1773070657775;2026-03-09 16:37:37.775;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1311, "x": 0.0264, "y": -0.3934, "z": 0.9511, "pitch": 1.0, "roll": -22.0};
1773070658793;2026-03-09 16:37:38.793;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1312, "x": 0.0301, "y": -0.3967, "z": 0.9537, "pitch": 2.0, "roll": -23.0};
1773070659816;2026-03-09 16:37:39.816;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1313, "x": 0.0282, "y": -0.3933, "z": 0.9555, "pitch": 2.0, "roll": -22.0};
1773070660833;2026-03-09 16:37:40.833;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1314, "x": 0.0317, "y": -0.3945, "z": 0.9534, "pitch": 2.0, "roll": -22.0};
1773070661856;2026-03-09 16:37:41.856;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1315, "x": 0.0293, "y": -0.3937, "z": 0.9582, "pitch": 2.0, "roll": -22.0};
1773070662873;2026-03-09 16:37:42.873;{"type": "accelerometer", "UID": "VEg", "location": "HumanWS", "messageID": 1316, "x": 0.0297, "y": -0.3943, "z": 0.9506, "pitch": 2.0, "roll": -23.0};
