Timestamp;Date;Value;Properties
1773070631888;2026-03-09 16:37:11.888;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1284, "distance": 71.1};
1773070632907;2026-03-09 16:37:12.907;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1285, "distance": 68.8};
1773070634152;2026-03-09 16:37:14.152;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1286, "distance": 68.8};
1773070635173;2026-03-09 16:37:15.173;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1287, "distance": 68.8};
1773070636188;2026-03-09 16:37:16.188;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1288, "distance": 68.8};
1773070637213;2026-03-09 16:37:17.213;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1289, "distance": 69.4};
1773070637815;2026-03-09 16:37:17.815;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1290, "distance": 68.8};
1773070638807;2026-03-09 16:37:18.807;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1291, "distance": 68.8};
1773070639798;2026-03-09 16:37:19.798;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1292, "distance": 69.6};
1773070640796;2026-03-09 16:37:20.796;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1293, "distance": 68.9};
1773070641802;2026-03-09 16:37:21.802;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1294, "distance": 70.0};
1773070643268;2026-03-09 16:37:23.268;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1295, "distance": 68.8};
1773070643831;2026-03-09 16:37:23.831;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1296, "distance": 68.8};
1773070645160;2026-03-09 16:37:25.160;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1297, "distance": 68.8};
1773070646420;2026-03-09 16:37:26.420;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1298, "distance": 68.8};
1773070647125;2026-03-09 16:37:27.125;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1299, "distance": 68.8};
1773070647765;2026-03-09 16:37:27.765;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1300, "distance": 68.8};
1773070649182;2026-03-09 16:37:29.182;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1301, "distance": 68.8};
1773070650230;2026-03-09 16:37:30.230;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1302, "distance": 68.8};
1773070651371;2026-03-09 16:37:31.371;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1303, "distance": 68.8};
1773070651747;2026-03-09 16:37:31.747;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1304, "distance": 68.8};
1773070652750;2026-03-09 16:37:32.750;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1305, "distance": 68.8};
1773070653757;2026-03-09 16:37:33.757;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1306, "distance": 68.8};
1773070654716;2026-03-09 16:37:34.716;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1307, "distance": 68.8};
1773070656244;2026-03-09 16:37:36.244;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1308, "distance": 68.8};
1773070656754;2026-03-09 16:37:36.754;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1309, "distance": 68.8};
1773070657775;2026-03-09 16:37:37.775;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1310, "distance": 68.8};
1773070658793;2026-03-09 16:37:38.793;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1311, "distance": 68.8};
1773070659816;2026-03-09 16:37:39.816;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1312, "distance": 69.6};
1773070660833;2026-03-09 16:37:40.833;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1313, "distance": 68.8};
1773070661856;2026-03-09 16:37:41.856;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1314, "distance": 68.8};
1773070662874;2026-03-09 16:37:42.874;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1315, "distance": 68.8};
1773070663667;2026-03-09 16:37:43.667;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1316, "distance": 68.8};
1773070664582;2026-03-09 16:37:44.582;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1317, "distance": 70.7};
1773070665647;2026-03-09 16:37:45.647;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1318, "distance": 72.8};
1773070666567;2026-03-09 16:37:46.567;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1319, "distance": 72.7};
1773070667629;2026-03-09 16:37:47.629;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1320, "distance": 68.8};
1773070668570;2026-03-09 16:37:48.570;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1321, "distance": 68.8};
1773070669610;2026-03-09 16:37:49.610;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1322, "distance": 71.3};
1773070670530;2026-03-09 16:37:50.530;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1323, "distance": 70.4};
1773070671589;2026-03-09 16:37:51.589;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1324, "distance": 51.2};
1773070672513;2026-03-09 16:37:52.513;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1325, "distance": 32.9};
1773070673573;2026-03-09 16:37:53.573;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1326, "distance": 15.6};
1773070674500;2026-03-09 16:37:54.500;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1327, "distance": 13.2};
1773070675550;2026-03-09 16:37:55.550;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1328, "distance": 56.1};
1773070676478;2026-03-09 16:37:56.478;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1329, "distance": 79.0};
1773070677531;2026-03-09 16:37:57.531;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1330, "distance": 47.9};
1773070678460;2026-03-09 16:37:58.460;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1331, "distance": 36.7};
1773070679513;2026-03-09 16:37:59.513;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1332, "distance": 46.0};
1773070680447;2026-03-09 16:38:00.447;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1333, "distance": 64.9};
1773070681486;2026-03-09 16:38:01.486;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1334, "distance": 68.8};
1773070682426;2026-03-09 16:38:02.426;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1335, "distance": 66.2};
1773070683539;2026-03-09 16:38:03.539;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1336, "distance": 10.0};
1773070684559;2026-03-09 16:38:04.559;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1337, "distance": 13.2};
1773070685579;2026-03-09 16:38:05.579;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1338, "distance": 63.1};
1773070686598;2026-03-09 16:38:06.598;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1339, "distance": 67.5};
1773070687619;2026-03-09 16:38:07.619;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1340, "distance": 65.2};
1773070688639;2026-03-09 16:38:08.639;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1341, "distance": 60.8};
1773070689660;2026-03-09 16:38:09.660;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1342, "distance": 60.9};
1773070690679;2026-03-09 16:38:10.679;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1343, "distance": 59.1};
1773070691707;2026-03-09 16:38:11.707;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1344, "distance": 66.7};
1773070692718;2026-03-09 16:38:12.718;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1345, "distance": 64.3};
1773070693461;2026-03-09 16:38:13.461;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1346, "distance": 65.2};
1773070694706;2026-03-09 16:38:14.706;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1347, "distance": 61.3};
1773070695313;2026-03-09 16:38:15.313;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1348, "distance": 68.8};
1773070696306;2026-03-09 16:38:16.306;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1349, "distance": 68.8};
1773070697296;2026-03-09 16:38:17.296;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1350, "distance": 68.8};
1773070698291;2026-03-09 16:38:18.291;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1351, "distance": 68.8};
1773070699301;2026-03-09 16:38:19.301;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1352, "distance": 68.8};
1773070700317;2026-03-09 16:38:20.317;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1353, "distance": 68.8};
1773070701360;2026-03-09 16:38:21.360;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1354, "distance": 68.8};
1773070702363;2026-03-09 16:38:22.363;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1355, "distance": 68.8};
1773070703401;2026-03-09 16:38:23.401;{"type": "distance_IR_mid", "UID": "2a8w", "location": "HumanWS", "messageID": 1356, "distance": 68.8};
