Timestamp;Date;Value;Properties
1773070631887;2026-03-09 16:37:11.887;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1282, "distance": 13.3};
1773070632904;2026-03-09 16:37:12.904;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1283, "distance": 13.4};
1773070633641;2026-03-09 16:37:13.641;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1284, "distance": 13.3};
1773070634662;2026-03-09 16:37:14.662;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1285, "distance": 12.7};
1773070635680;2026-03-09 16:37:15.680;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1286, "distance": 15.7};
1773070636704;2026-03-09 16:37:16.704;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1287, "distance": 14.9};
1773070637718;2026-03-09 16:37:17.718;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1288, "distance": 15.8};
1773070638740;2026-03-09 16:37:18.740;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1289, "distance": 13.0};
1773070639758;2026-03-09 16:37:19.758;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1290, "distance": 13.1};
1773070640778;2026-03-09 16:37:20.778;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1291, "distance": 13.3};
1773070641801;2026-03-09 16:37:21.801;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1292, "distance": 13.5};
1773070643267;2026-03-09 16:37:23.267;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1293, "distance": 13.5};
1773070643541;2026-03-09 16:37:23.541;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1294, "distance": 13.7};
1773070644568;2026-03-09 16:37:24.568;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1295, "distance": 13.4};
1773070645937;2026-03-09 16:37:25.937;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1296, "distance": 13.2};
1773070646724;2026-03-09 16:37:26.724;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1297, "distance": 12.9};
1773070647417;2026-03-09 16:37:27.417;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1298, "distance": 13.1};
1773070648443;2026-03-09 16:37:28.443;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1299, "distance": 13.5};
1773070649451;2026-03-09 16:37:29.451;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1300, "distance": 13.1};
1773070650529;2026-03-09 16:37:30.529;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1301, "distance": 13.4};
1773070651738;2026-03-09 16:37:31.738;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1302, "distance": 13.1};
1773070652750;2026-03-09 16:37:32.750;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1303, "distance": 13.5};
1773070653748;2026-03-09 16:37:33.748;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1304, "distance": 12.9};
1773070654487;2026-03-09 16:37:34.487;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1305, "distance": 13.3};
1773070656243;2026-03-09 16:37:36.243;{"type": "distance_IR_short", "UID": "TG2", "location": "HumanWS", "messageID": 1306, "distance": 13.0};
