Timestamp;Date;Value;Properties
1773070675385;2026-03-09 16:37:55.385;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 23, "left_button": "Released", "left_button_pressed": 0, "right_button": "Pressed", "right_button_pressed": 1};
1773070675603;2026-03-09 16:37:55.603;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 24, "left_button": "Released", "left_button_pressed": 0, "right_button": "Pressed", "right_button_pressed": 1};
1773070675865;2026-03-09 16:37:55.865;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 25, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Pressed", "right_button_pressed": 1};
1773070676316;2026-03-09 16:37:56.316;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 26, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Pressed", "right_button_pressed": 1};
1773070676386;2026-03-09 16:37:56.386;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 27, "left_button": "Released", "left_button_pressed": 0, "right_button": "Pressed", "right_button_pressed": 1};
1773070676524;2026-03-09 16:37:56.524;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 28, "left_button": "Released", "left_button_pressed": 0, "right_button": "Pressed", "right_button_pressed": 1};
1773070676863;2026-03-09 16:37:56.863;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 29, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Pressed", "right_button_pressed": 1};
1773070677084;2026-03-09 16:37:57.084;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 30, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Pressed", "right_button_pressed": 1};
1773070677307;2026-03-09 16:37:57.307;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 31, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Released", "right_button_pressed": 0};
1773070677991;2026-03-09 16:37:57.991;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 32, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Released", "right_button_pressed": 0};
1773070678411;2026-03-09 16:37:58.411;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 33, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Pressed", "right_button_pressed": 1};
1773070678844;2026-03-09 16:37:58.844;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 34, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Pressed", "right_button_pressed": 1};
1773070679286;2026-03-09 16:37:59.286;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 35, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Released", "right_button_pressed": 0};
1773070679727;2026-03-09 16:37:59.727;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 36, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Released", "right_button_pressed": 0};
1773070680165;2026-03-09 16:38:00.165;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 37, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Pressed", "right_button_pressed": 1};
1773070680607;2026-03-09 16:38:00.607;{"type": "dual_button", "UID": "UZN", "location": "HumanWS", "messageID": 38, "left_button": "Pressed", "left_button_pressed": 1, "right_button": "Pressed", "right_button_pressed": 1};
