Timestamp;Date;Value;Properties
1773070631887;2026-03-09 16:37:11.887;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5103, "position": -78};
1773070631888;2026-03-09 16:37:11.888;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5104, "position": -78};
1773070632400;2026-03-09 16:37:12.400;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5105, "position": -78};
1773070632400;2026-03-09 16:37:12.400;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5106, "position": -78};
1773070632907;2026-03-09 16:37:12.907;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5107, "position": -78};
1773070632907;2026-03-09 16:37:12.907;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5108, "position": -78};
1773070633347;2026-03-09 16:37:13.347;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5109, "position": -78};
1773070633347;2026-03-09 16:37:13.347;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5110, "position": -78};
1773070633645;2026-03-09 16:37:13.645;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5111, "position": -78};
1773070634152;2026-03-09 16:37:14.152;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5112, "position": -78};
1773070634153;2026-03-09 16:37:14.153;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5113, "position": -78};
1773070634661;2026-03-09 16:37:14.661;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5114, "position": -78};
1773070634662;2026-03-09 16:37:14.662;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5115, "position": -78};
1773070635173;2026-03-09 16:37:15.173;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5116, "position": -78};
1773070635174;2026-03-09 16:37:15.174;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5117, "position": -78};
1773070635677;2026-03-09 16:37:15.677;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5118, "position": -78};
1773070635680;2026-03-09 16:37:15.680;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5119, "position": -78};
1773070636187;2026-03-09 16:37:16.187;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5120, "position": -78};
1773070636188;2026-03-09 16:37:16.188;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5121, "position": -78};
1773070636700;2026-03-09 16:37:16.700;{"type": "rotary", "UID": "KVx", "location": "HumanWS", "messageID": 5122, "position": -78};
